"Qty";"Value";"Package";"Parts";"Description";"";
"1";"0R/Jumper";"AXIAL-0.3";"R14";"Resistor";"";
"1";"100R";"AXIAL-0.3";"R7";"Resistor";"";
"2";"1k";"AXIAL-0.3";"R1, R5";"Resistor";"";
"2";"5K6";"AXIAL-0.3";"R2, R8";"Resistor";"";
"5";"10k";"AXIAL-0.3";"R3, R9, R10, R11, R12";"Resistor";"";
"1";"68K";"AXIAL-0.3";"R4";"Resistor";"";
"1";"100K";"AXIAL-0.3";"R6";"Resistor";"";
"1";"10M";"AXIAL-0.3";"R18";"Resistor";"";
"2";"10nF";"CAP-PTH-SMALLEZ";"C6, C8";"Capacitor";"";
"2";"100nF";"CAP-PTH-SMALLEZ";"C1, C7";"Capacitor";"";
"1";"2N7000";"TO-92";"Q2";"Common NMOSFET Parts";"";
"1";"IRF5305";"TO220V";"Q1";"Generic PMOSFET";"";
"1";"CD4050BE";"DIP16";"U1";"";"";
"1";"OPA703PA";"DIL08";"IC1";"Rail-to-Rail Operational Amplifiers";"";
"1";"RED";"LED5MM";"HEATING";"LED";"";
"6";"12mm";"TACTILE-PTH";"S1, S2, S3, S4, S5, S6";"Momentary Switch";"";
"1";"1.8TFT_BLUE";"1.8TFT_BLUE";"TFT1";"";"";
"1";"ARDUINO_NANOR3";"ARDUINO-NANO";"U2";"Arduino NANO R3";"";
"1";"AUDIO_JACK_5P_KB_3_SPRS";"EBS_35";"J2";"";"";
"1";"POWER_JACKPTH";"POWER_JACK_PTH";"JP1";"Power Jack";"";
